125,0,85,0
45,0,85,0
25,0,85,0
165,0,85,0
85,0,145,0
85,0,65,0
85,0,105,0
85,0,5,0
65,0,85,0
45,0,85,0
125,0,85,0
25,0,85,0
85,0,145,0
85,0,5,0
85,0,165,0
85,0,105,0
0,0,0,0
165,0,85,0
125,0,85,0
85,0,65,0
85,0,25,0
105,0,85,0
45,0,85,0
85,0,5,0
85,0,145,0
145,0,85,0
85,0,45,0
85,0,65,0
85,0,165,0
5,0,85,0
105,0,85,0
85,0,25,0
125,0,85,0
0,0,0,0
85,0,45,0
85,0,145,0
85,0,125,0
105,0,85,0
85,0,165,0
65,0,85,0
5,0,85,0
25,0,85,0
85,0,105,0
145,0,85,0
85,0,25,0
5,0,85,0
65,0,85,0
85,0,125,0
165,0,85,0
85,0,45,0
0,0,0,0
85,0,25,0
85,0,65,0
145,0,85,0
85,0,105,0
85,0,125,0
5,0,85,0
45,0,85,0
165,0,85,0
85,0,5,0
85,0,125,0
145,0,85,0
85,0,165,0
25,0,85,0
85,0,45,0
105,0,85,0
65,0,85,0
-2,-2,-2,-2
125,1,85,1
45,1,85,1
25,1,85,1
165,1,85,1
85,1,145,1
85,1,65,1
85,1,105,1
85,1,5,1
65,1,85,1
45,1,85,1
125,1,85,1
25,1,85,1
85,1,145,1
85,1,5,1
85,1,165,1
85,1,105,1
0,0,0,0
165,1,85,1
125,1,85,1
85,1,65,1
85,1,25,1
105,1,85,1
45,1,85,1
85,1,5,1
85,1,145,1
145,1,85,1
85,1,45,1
85,1,65,1
85,1,165,1
5,1,85,1
105,1,85,1
85,1,25,1
125,1,85,1
0,0,0,0
85,1,45,1
85,1,145,1
85,1,125,1
105,1,85,1
85,1,165,1
65,1,85,1
5,1,85,1
25,1,85,1
85,1,105,1
145,1,85,1
85,1,25,1
5,1,85,1
65,1,85,1
85,1,125,1
165,1,85,1
85,1,45,1
0,0,0,0
85,1,25,1
85,1,65,1
145,1,85,1
85,1,105,1
85,1,125,1
5,1,85,1
45,1,85,1
165,1,85,1
85,1,5,1
85,1,125,1
145,1,85,1
85,1,165,1
25,1,85,1
85,1,45,1
105,1,85,1
65,1,85,1
-2,-2,-2,-2
125,3,85,3
45,3,85,3
25,3,85,3
165,3,85,3
85,3,145,3
85,3,65,3
85,3,105,3
85,3,5,3
65,3,85,3
45,3,85,3
125,3,85,3
25,3,85,3
85,3,145,3
85,3,5,3
85,3,165,3
85,3,105,3
0,0,0,0
165,3,85,3
125,3,85,3
85,3,65,3
85,3,25,3
105,3,85,3
45,3,85,3
85,3,5,3
85,3,145,3
145,3,85,3
85,3,45,3
85,3,65,3
85,3,165,3
5,3,85,3
105,3,85,3
85,3,25,3
125,3,85,3
0,0,0,0
85,3,45,3
85,3,145,3
85,3,125,3
105,3,85,3
85,3,165,3
65,3,85,3
5,3,85,3
25,3,85,3
85,3,105,3
145,3,85,3
85,3,25,3
5,3,85,3
65,3,85,3
85,3,125,3
165,3,85,3
85,3,45,3
0,0,0,0
85,3,25,3
85,3,65,3
145,3,85,3
85,3,105,3
85,3,125,3
5,3,85,3
45,3,85,3
165,3,85,3
85,3,5,3
85,3,125,3
145,3,85,3
85,3,165,3
25,3,85,3
85,3,45,3
105,3,85,3
65,3,85,3
-2,-2,-2,-2
125,2,85,2
45,2,85,2
25,2,85,2
165,2,85,2
85,2,145,2
85,2,65,2
85,2,105,2
85,2,5,2
65,2,85,2
45,2,85,2
125,2,85,2
25,2,85,2
85,2,145,2
85,2,5,2
85,2,165,2
85,2,105,2
0,0,0,0
165,2,85,2
125,2,85,2
85,2,65,2
85,2,25,2
105,2,85,2
45,2,85,2
85,2,5,2
85,2,145,2
145,2,85,2
85,2,45,2
85,2,65,2
85,2,165,2
5,2,85,2
105,2,85,2
85,2,25,2
125,2,85,2
0,0,0,0
85,2,45,2
85,2,145,2
85,2,125,2
105,2,85,2
85,2,165,2
65,2,85,2
5,2,85,2
25,2,85,2
85,2,105,2
145,2,85,2
85,2,25,2
5,2,85,2
65,2,85,2
85,2,125,2
165,2,85,2
85,2,45,2
0,0,0,0
85,2,25,2
85,2,65,2
145,2,85,2
85,2,105,2
85,2,125,2
5,2,85,2
45,2,85,2
165,2,85,2
85,2,5,2
85,2,125,2
145,2,85,2
85,2,165,2
25,2,85,2
85,2,45,2
105,2,85,2
65,2,85,2
-1,-1,-1,-1
